TASKID,task_id,task_type,pro_type,pro_size,pro_weight,status,pickup_lat,pickup_long,pickup_datetime,del_lat,del_long,del_tentativetime,worker_accepttime,worker_pickup_loc_datetime,worker_del_loc_datetime,trip_time_inhrs,req-rating,wor-rating,worker_id,profile_id,pickup,dropof,price
TID_1,1,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,13.155,80.196,17/08/2022 14:59,12.74,77.82,28/08/2022 14:38,17/08/2022,17/08/2020 14:59,28/08/2022 14:38,23:38:59,3.9,4.1,1,1,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",400
TID_2,2,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,12.839,79.954,27/08/2022 16:21,12.839,79.954,28/08/2022 12:46,27/08/2022,27/08/2020 16:21,28/08/2022 12:46,20:24:08,4.3,4.1,2,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",400
TID_3,3,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,11.871,79.739,27/08/2022 17:57,11.871,79.739,28/08/2022 16:03,27/08/2022,27/08/2020 17:57,28/08/2022 16:03,22:05:56,4,3.8,3,1,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",350
TID_4,4,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,12.839,79.954,28/08/2022 00:47,12.839,79.954,28/08/2022 12:50,28/08/2022,28/08/2020 00:47,28/08/2022 12:50,12:02:15,4.2,3.7,4,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",150
TID_5,5,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,11.872,79.632,28/08/2022 01:13,11.872,79.632,28/08/2022 14:22,28/08/2022,28/08/2020 01:13,28/08/2022 14:22,13:08:12,4.1,3.8,5,1,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",400
TID_6,6,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,12.839,79.954,28/08/2022 02:13,12.839,79.954,28/08/2022 13:25,28/08/2022,28/08/2020 02:13,28/08/2022 13:25,11:11:21,3.7,3.8,6,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",250
TID_7,7,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,12.839,79.954,28/08/2022 02:19,12.839,79.954,28/08/2022 17:38,28/08/2022,28/08/2020 02:19,28/08/2022 17:38,15:18:13,4.2,3.6,7,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",350
TID_8,8,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,12.839,79.954,28/08/2022 09:21,12.839,79.954,28/08/2022 12:49,28/08/2022,28/08/2020 09:21,28/08/2022 12:49,03:27:04,4.2,4.6,8,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",250
TID_9,9,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,13.215,80.32,28/08/2022 09:38,12.766,77.786,28/08/2022 15:00,28/08/2022,28/08/2020 09:38,28/08/2022 15:00,05:21:30,4.2,4,9,1,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",300
TID_10,10,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,12.839,79.954,27/08/2022 22:27,12.839,79.954,28/08/2022 12:46,27/08/2022,27/08/2020 22:27,28/08/2022 12:46,14:18:46,4.2,4,10,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_11,11,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,12.839,79.954,28/08/2022 01:35,12.839,79.954,28/08/2022 12:50,28/08/2022,28/08/2020 01:35,28/08/2022 12:50,11:14:35,4.2,4.2,11,1,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",200
TID_12,12,PD,BRACKET / GRAB HANDLE,2,2,Delivery completed,12.751,77.804,28/08/2022 10:16,13.155,80.196,28/08/2022 15:43,28/08/2022,28/08/2020 10:16,28/08/2022 15:43,05:26:50,4.5,4.1,12,1,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU",100
TID_13,13,PD,BRACKET / GRAB HANDLE,1,3,Delivery completed,12.839,79.954,28/08/2022 10:26,12.839,79.954,28/08/2022 12:53,28/08/2022,28/08/2020 10:26,28/08/2022 12:53,02:26:41,3.9,4.2,13,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",350
TID_14,14,PD,BRACKET / GRAB HANDLE,2,4,Delivery completed,12.839,79.954,28/08/2022 10:22,12.839,79.954,28/08/2022 12:50,28/08/2022,28/08/2020 10:22,28/08/2022 12:50,02:27:01,3.8,4.2,14,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",250
TID_15,15,PD,BRACKET / GRAB HANDLE,1,5,Delivery completed,12.839,79.954,27/08/2022 20:33,12.839,79.954,28/08/2022 12:46,27/08/2022,27/08/2020 20:33,28/08/2022 12:46,16:12:24,4.5,4,15,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",350
TID_16,16,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,13.102,80.194,27/08/2022 20:47,11.872,79.632,28/08/2022 13:06,27/08/2022,27/08/2020 20:47,28/08/2022 13:06,16:19:00,3.4,3.8,16,2,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",300
TID_17,17,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,12.839,79.954,27/08/2022 20:59,12.839,79.954,28/08/2022 12:48,27/08/2022,27/08/2020 20:59,28/08/2022 12:48,15:48:57,4.5,3.8,17,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",100
TID_18,18,PD,BRACKET / GRAB HANDLE,2,3,Delivery completed,11.872,79.632,27/08/2022 21:12,13.102,80.194,28/08/2022 12:56,27/08/2022,27/08/2020 21:12,28/08/2022 12:56,15:43:12,4.5,3.9,18,2,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",TVS Industries Chennai India,150
TID_19,19,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,12.839,79.954,28/08/2022 03:08,12.839,79.954,28/08/2022 12:48,28/08/2022,28/08/2020 03:08,28/08/2022 12:48,09:39:44,4.1,3.8,19,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",250
TID_20,20,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,12.839,79.954,28/08/2022 10:54,12.839,79.954,28/08/2022 12:49,28/08/2022,28/08/2020 10:54,28/08/2022 12:49,01:54:58,4,3.9,20,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",400
TID_21,21,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,12.839,79.954,28/08/2022 12:03,12.839,79.954,28/08/2022 12:49,28/08/2022,28/08/2020 12:03,28/08/2022 12:49,00:45:22,4.1,3.1,21,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",400
TID_22,22,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,13.215,80.32,28/08/2022 10:29,12.726,77.876,28/08/2022 12:51,28/08/2022,28/08/2020 10:29,28/08/2022 12:51,02:21:38,3.9,3,22,2,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",300
TID_23,23,PD,BRACKET / GRAB HANDLE,2,3,Delivery completed,12.777,80.025,28/08/2022 10:30,12.778,80.025,28/08/2022 12:53,28/08/2022,28/08/2020 10:30,28/08/2022 12:53,02:23:00,4.9,3.7,23,2,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",400
TID_24,24,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,12.839,79.954,28/08/2022 11:00,12.839,79.954,28/08/2022 12:48,28/08/2022,28/08/2020 11:00,28/08/2022 12:48,01:47:35,4.9,3.6,24,2,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",200
TID_25,25,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,12.839,79.954,28/08/2022 11:11,12.839,79.954,28/08/2022 13:02,28/08/2022,28/08/2020 11:11,28/08/2022 13:02,01:50:18,4,3.6,25,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",350
TID_26,26,PD,BRACKET / GRAB HANDLE,1,1,Delivery completed,12.839,79.954,28/08/2022 11:41,12.839,79.954,28/08/2022 12:49,28/08/2022,28/08/2020 11:41,28/08/2022 12:49,01:07:14,4.9,3.7,26,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",150
TID_27,27,PD,BRACKET / GRAB HANDLE,1,2,Delivery completed,12.839,79.954,28/08/2022 11:41,12.839,79.954,28/08/2022 12:49,28/08/2022,28/08/2020 11:41,28/08/2022 12:49,01:07:11,4,3.2,27,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",500
TID_28,28,PD,BRACKET / GRAB HANDLE,2,3,Delivery completed,12.839,79.954,28/08/2022 11:48,12.839,79.954,28/08/2022 13:13,28/08/2022,28/08/2020 11:48,28/08/2022 13:13,01:24:13,4.9,3.8,28,3,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",300
TID_29,29,PD,BRACKET / GRAB HANDLE,1,4,Delivery completed,26.55,75.463,28/08/2022 12:42,26.55,75.463,28/08/2022 14:11,28/08/2022,28/08/2020 12:42,28/08/2022 14:11,01:29:00,4.9,3.3,29,3,"NATIONAL ENGG.IND.LTD.,JAIPUR,RAJASTHAN","NATIONAL ENGG.IND.LTD.,JAIPUR,RAJASTHAN",150
TID_30,30,PD,BRACKET / GRAB HANDLE,2,5,Delivery completed,26.85,80.92,25/08/2022 08:01,18.76,73.86,28/08/2022 17:01,25/08/2022,25/08/2020 08:01,28/08/2022 17:01,08:59:15,4.9,3.3,30,3,"TVS LOGISTICS SERVICES LIMITED,LUCKNOW,UTTAR PRADESH","CUMMINS EMISSIONS SYSTEM,,SATARA,MAHARASHTRA",120
